-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,hpsas041.tsonl.local,-1,trace_id_0001,CB_201710060210_NL094.TXT (urn:uuid:6D1BD1E6D76795EF421507249361080),IN,TSONL2SZ_ASIS_ENB2OP33_SOURCE_TransportID198_1.0,mediate,urn:uuid:6D1BD1E6D76795EF421507249361080,1507248640000,1507248650000,sz,success,TSONL,SZ,/CART_ONL/CB_201710060210_NL094.TXT,CB_201710060210_NL094.TXT,ftp://***:***@ftp.tsonl.local/CART_ONL/CB_201710060210_NL094.TXT,168489,1507248600000,TSONL2SZ_ASIS_ENB2OP33_SOURCE_TransportID198_1.0,"<soapenv:Header xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/""></soapenv:Header>"
-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,spsas145.domoff.local,CB_201710060210_NL094.TXT (urn:uuid:6D1BD1E6D76795EF421507249361080)1507248640000,trace_id_0001,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz (urn:uuid:639AFCD9D63FD592511507216157421),IN,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,mediate,ID:spsas180.domdzs.local-41538-1505825366192-997741:1:1:1:1,1507248642000,1507248644000,sz,success,DMZSZ,SZ,/users/f6917/IN/10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,smb://***:***@spscs130/ftpedm$/users/f6917/IN/10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,276121,1507222396000,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,"<soapenv:Header xmlns:soapenv=""http://www.w3.org/2003/05/soap-envelope""></soapenv:Header>"
-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,spsas180.domdzs.local,CB_201710060210_NL094.TXT (urn:uuid:6D1BD1E6D76795EF421507249361080)1507248640000,trace_id_0001,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz (urn:uuid:639AFCD9D63FD592511507216157421),IN,DMZSZ2SZ_EDMFTPMOVE_SOURCE_1.1,mediate,urn:uuid:639AFCD9D63FD592511507216157421,1507248644000,1507248646000,sz,success,DMZSZ,SZ,/users/f6917/IN/10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,smb://***:***@spscs130/ftpedm$/users/f6917/IN/10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,276121,1507222396000,DMZSZ2SZ_EDMFTPMOVE_SOURCE_1.1,"<soapenv:Header xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/""></soapenv:Header>"
-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,spsas180.domdzs.local,CB_201710060210_NL094.TXT (urn:uuid:6D1BD1E6D76795EF421507249361080)1507248640000,trace_id_0001,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz (urn:uuid:639AFCD9D63FD592511507216157421),IN,DMZSZ2SZ_EDMFTPMOVE_SOURCE_1.1,mediate,urn:uuid:639AFCD9D63FD592511507216157421,1507248646000,1507248648000,sz,success,DMZSZ,SZ,/users/f6917/IN/10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,smb://***:***@spscs130/ftpedm$/users/f6917/IN/10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,276121,1507222396000,DMZSZ2SZ_EDMFTPMOVE_SOURCE_1.1,"<soapenv:Header xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/""></soapenv:Header>"
-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,spsas145.domoff.local,CB_201710060210_NL094.TXT (urn:uuid:6D1BD1E6D76795EF421507249361080)1507248640000,trace_id_0001,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz (urn:uuid:639AFCD9D63FD592511507216157421),IN,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,mediate,ID:spsas180.domdzs.local-41538-1505825366192-997741:1:1:1:1,1507248648000,1507248650000,sz,success,DMZSZ,SZ,/users/f6917/IN/10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,smb://***:***@spscs130/ftpedm$/users/f6917/IN/10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz,276121,1507222396000,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,"<soapenv:Header xmlns:soapenv=""http://www.w3.org/2003/05/soap-envelope""></soapenv:Header>"
-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,spsas145.domoff.local,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz (urn:uuid:639AFCD9D63FD592511507216157421)1507248642000,trace_id_0001,10121012345_10XCH-SWISSGRIDC_201710061045.xml (urn:uuid:F86DEC8D645AC823631507279662583),IN,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,mediate,ID:spsas179.domdzs.local-35747-1507277535490-13033:1:1:1:1,1507248642000,1507248642500,sz,success,DMZSZ,SZ,/users/f6917/IN/10121012345_10XCH-SWISSGRIDC_201710061045.xml,10121012345_10XCH-SWISSGRIDC_201710061045.xml,smb://***:***@spscs130.domdzs.local/ftpedm$/users/f6917/IN/10121012345_10XCH-SWISSGRIDC_201710061045.xml,4062892,1507286743000,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,"<soapenv:Header xmlns:soapenv=""http://www.w3.org/2003/05/soap-envelope""></soapenv:Header>"
-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,spsas145.domoff.local,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz (urn:uuid:639AFCD9D63FD592511507216157421)1507248642000,trace_id_0001,10121012345_10XCH-SWISSGRIDC_201710061045.xml (urn:uuid:F86DEC8D645AC823631507279662583),IN,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,mediate,ID:spsas179.domdzs.local-35747-1507277535490-13033:1:1:1:1,1507248642500,1507248643000,sz,success,DMZSZ,SZ,/users/f6917/IN/10121012345_10XCH-SWISSGRIDC_201710061045.xml,10121012345_10XCH-SWISSGRIDC_201710061045.xml,smb://***:***@spscs130.domdzs.local/ftpedm$/users/f6917/IN/10121012345_10XCH-SWISSGRIDC_201710061045.xml,4062892,1507286743000,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,"<soapenv:Header xmlns:soapenv=""http://www.w3.org/2003/05/soap-envelope""></soapenv:Header>"
-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,spsas179.domdzs.local,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz (urn:uuid:639AFCD9D63FD592511507216157421)1507248642000,trace_id_0001,10121012345_10XCH-SWISSGRIDC_201710061045.xml (urn:uuid:F86DEC8D645AC823631507279662583),IN,DMZSZ2SZ_EDMFTPMOVE_SOURCE_1.1,mediate,urn:uuid:F86DEC8D645AC823631507279662583,1507248643000,1507248643500,sz,success,DMZSZ,SZ,/users/f6917/IN/10121012345_10XCH-SWISSGRIDC_201710061045.xml,10121012345_10XCH-SWISSGRIDC_201710061045.xml,smb://***:***@spscs130.domdzs.local/ftpedm$/users/f6917/IN/10121012345_10XCH-SWISSGRIDC_201710061045.xml,4062892,1507286743000,DMZSZ2SZ_EDMFTPMOVE_SOURCE_1.1,"<soapenv:Header xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/""></soapenv:Header>"
-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,spsas179.domdzs.local,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz (urn:uuid:639AFCD9D63FD592511507216157421)1507248642000,trace_id_0001,10121012345_10XCH-SWISSGRIDC_201710061045.xml (urn:uuid:F86DEC8D645AC823631507279662583),IN,DMZSZ2SZ_EDMFTPMOVE_SOURCE_1.1,mediate,urn:uuid:F86DEC8D645AC823631507279662583,1507248643500,1507248644000,sz,success,DMZSZ,SZ,/users/f6917/IN/10121012345_10XCH-SWISSGRIDC_201710061045.xml,10121012345_10XCH-SWISSGRIDC_201710061045.xml,smb://***:***@spscs130.domdzs.local/ftpedm$/users/f6917/IN/10121012345_10XCH-SWISSGRIDC_201710061045.xml,4062892,1507286743000,DMZSZ2SZ_EDMFTPMOVE_SOURCE_1.1,"<soapenv:Header xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/""></soapenv:Header>"
-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,spsas146.domoff.local,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz (urn:uuid:639AFCD9D63FD592511507216157421)1507248644000,trace_id_0001,10123012345_10XCH-SWISSGRIDC_201710061045.xml (urn:uuid:F86DEC8D645AC823631507279665984),IN,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,mediate,ID:spsas179.domdzs.local-35747-1507277535490-13045:1:1:1:1,1507248644000,1507248644500,sz,success,DMZSZ,SZ,/users/f6917/IN/10123012345_10XCH-SWISSGRIDC_201710061045.xml,10123012345_10XCH-SWISSGRIDC_201710061045.xml,smb://***:***@spscs130.domdzs.local/ftpedm$/users/f6917/IN/10123012345_10XCH-SWISSGRIDC_201710061045.xml,3010985,1507286731000,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,"<soapenv:Header xmlns:soapenv=""http://www.w3.org/2003/05/soap-envelope""></soapenv:Header>"
-1234,NULL,NULL,NULL,NULL,application/octet-stream,NULL,NULL,spsas146.domoff.local,10256012345_10XCH-SWISSGRIDC_201710051653.xml.gz (urn:uuid:639AFCD9D63FD592511507216157421)1507248644000,trace_id_0001,10123012345_10XCH-SWISSGRIDC_201710061045.xml (urn:uuid:F86DEC8D645AC823631507279665984),IN,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,mediate,ID:spsas179.domdzs.local-35747-1507277535490-13045:1:1:1:1,1507248644500,1507248645000,sz,success,DMZSZ,SZ,/users/f6917/IN/10123012345_10XCH-SWISSGRIDC_201710061045.xml,10123012345_10XCH-SWISSGRIDC_201710061045.xml,smb://***:***@spscs130.domdzs.local/ftpedm$/users/f6917/IN/10123012345_10XCH-SWISSGRIDC_201710061045.xml,3010985,1507286731000,DMZSZ2SZ_EDMFTPMOVE_TARGET_1.0,"<soapenv:Header xmlns:soapenv=""http://www.w3.org/2003/05/soap-envelope""></soapenv:Header>"
